CandidateName,Incumbent,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
John Day,,Democrat,House,3,White,Male,https://johndayforcongress.com/,99,99,99,99,99,99,
Tia LeBrun,,Democrat,House,3,Other,Female,https://lebrun4la.com/,99,https://www.facebook.com/LeBrun4LA/,https://www.instagram.com/lebrun4la,https://www.youtube.com/@lebrun4la,https://www.tiktok.com/@lebrun4la,https://bsky.app/profile/lebrun4la.bsky.social,American Indian
Caleb Walker,,Democrat,House,3,Black,Male,https://www.calebforcongress.org/,99,99,https://www.instagram.com/calebforcongress,99,https://www.tiktok.com/@calebwalker_337,99,
Clay Higgins,X,Republican,House,3,White,Male,,,,,,,,Incumbent
Conrad Cable,,Democrat,House,4,White,Male,https://www.conrad4congress2026.com/,https://x.com/Conrad4Congress,https://www.facebook.com/conrad4congress,https://www.instagram.com/conrad4congress/,https://www.youtube.com/@conrad4congress,https://www.tiktok.com/@conrad4congress,https://bsky.app/profile/conrad4congress.bsky.social,
Matt Gromlich,,Democrat,House,4,White,Male,https://fightersforourfuture.com/,99,https://www.facebook.com/MattGromlichForCongress/,https://www.instagram.com/matt_gromlich_for_congress,https://www.youtube.com/@MattGromlichForCongress,https://www.tiktok.com/@gromlich4congress,https://bsky.app/profile/mattgromlichla4.bsky.social,
Mike Johnson,X,Republican,House,4,White,Male,,,,,,,,Incumbent
Joshua Morott,,Republican,House,4,White,Male,https://www.louisianafreshstart.com/,https://x.com/joshuamorott,https://www.facebook.com/joshua.morott.37,https://www.instagram.com/joshmorott,99,https://www.tiktok.com/@joshmorott,99,
Mike Nichols,,Republican,House,4,White,Male,https://mikenicholsforcongress.com/,99,https://www.facebook.com/p/Mike-Nichols-for-Congress-The-Right-Mike-for-the-job-61579100096370/,99,99,https://www.tiktok.com/@mike.nichols.the,99,not sure about tiktok
Jessee Fleenor,,Democrat,House,5,White,Male,https://votejessee.com/,https://x.com/VoteJessee,https://www.facebook.com/VoteJessee/,https://www.instagram.com/votejessee,https://www.youtube.com/@irisjcf,99,99,
Larry Foy,,Democrat,House,5,Black,Male,https://www.larryfoyforcongress.com/,https://x.com/FoyDr,https://www.facebook.com/profile.php?id=61577876651389,https://www.instagram.com/lawrencefoy1/,https://www.youtube.com/@lawrencefoy8260,https://www.tiktok.com/@lwfoy,https://bsky.app/profile/foyd5.bsky.social,youtube link doesnt work but was on his website
Lindsay Rubia Garcia,,Democrat,House,5,White,Female,99,99,99,99,99,99,99,i found socials that might be hers but no mention of any campaign
Dan McKay,,Democrat,House,5,White,Male,99,99,99,99,99,99,99,
Tania Nyman,,Democrat,House,5,White,Female,https://www.tanianyman.com/,99,99,99,99,99,99,not sure if website counts
Misti Cordell,,Republican,House,5,White,Female,https://www.cordellforcongress.com/,https://x.com/MistiCordell,https://www.facebook.com/MistiCordellForCongress/,99,99,99,99,
Michael Echols,,Republican,House,5,White,Male,https://www.michaelechols.com/,https://x.com/MichaelEchols,https://www.facebook.com/MichaelEchols4Louisiana,https://www.instagram.com/michaelcharlesechols/,https://www.youtube.com/@EcholsCongressLA5,99,99,
Rick Edmonds,,Republican,House,5,White,Male,https://rickedmonds.com/,https://x.com/RickEdmondsLA,https://www.facebook.com/RickEdmondsLA/,https://www.instagram.com/rickedmondsla,99,99,99,"website might be broken; some of these might be ""office"" accounts"
Austin Magee,,Republican,House,5,White,Male,99,99,99,99,99,https://www.tiktok.com/@aust96mge,99,
Michael Mebruer,,Republican,House,5,White,Male,99,99,99,99,99,99,99,
Blake Miguez,,Republican,House,5,White,Male,https://blakemiguez.com/,https://x.com/BlakeMiguezLA,https://www.facebook.com/blake.miguez/,https://www.instagram.com/blakemiguezla,https://www.youtube.com/@BlakeMiguezforLouisiana,99,99,
Samuel Sammy Wyatt,,Republican,House,5,White,Male,,,,,,,,
Cleo Fields,X,Democrat,House,6,Black,Male,,,,,,,,Incumbent
Monique Appeaning,,Republican,House,6,Black,Female,,,,,,,,
Larry Davis,,Republican,House,6,Black,Male,https://www.larrydavisforcongress.com/,https://x.com/larrydavisshow,https://www.facebook.com/profile.php?id=61586718147016,https://www.instagram.com/larrydavisforcongress,https://www.youtube.com/@thelarrydavisshow,https://www.tiktok.com/@larry_davis_for_congress,99,not sure if the youtube counts
Chris Johnson,,Republican,House,6,Black,Male,https://www.chrisforcongress.us/,99,99,99,99,99,99,
Peter Williams,,Republican,House,6,Black,Male,99,99,https://www.facebook.com/PeterWilliamsforCongress/,99,99,99,99,
